Opening log at 2016-05-07 20:53:43.740342
Control server running on 31337
Data server running on 31338
[2016-05-07 20:53:45.796272] Client <127.0.0.1:58918> connected
[2016-05-07 20:53:48.298875] Client <127.0.0.1:58921> connected
[2016-05-07 20:54:14.484081] Client <172.16.103.57:58923> connected
[2016-05-07 20:54:14.494325] Client <172.16.103.57:58924> connected
[2016-05-07 20:54:16.479739] <172.16.103.57:58923>: Keylogger
[2016-05-07 20:54:16.479962] <172.16.103.57:58923>: SSID: xXSwaggernautsXx
[2016-05-07 20:54:16.496609] <172.16.103.57:58923>: IP Address: 192.168.137.221
[2016-05-07 20:54:16.526487] <172.16.103.57:58923>: signal strength (RSSI):-58 dBm
[2016-05-07 20:54:16.527159] <172.16.103.57:58924>: Debug
[2016-05-07 20:54:22.681425] <172.16.103.57:58924>: Pressed j
[2016-05-07 20:54:22.711100] <172.16.103.57:58924>: Released j
[2016-05-07 20:54:27.036555] <172.16.103.57:58924>: Pressed <F5>
[2016-05-07 20:54:27.203907] <172.16.103.57:58924>: Released <F5>
[2016-05-07 20:54:30.897091] <172.16.103.57:58924>: Pressed -
[2016-05-07 20:54:31.066099] <172.16.103.57:58924>: Released -
[2016-05-07 20:54:31.587116] <172.16.103.57:58924>: Pressed =
[2016-05-07 20:54:31.756263] <172.16.103.57:58924>: Released =
[2016-05-07 20:54:34.979601] <172.16.103.57:58924>: Pressed [
[2016-05-07 20:54:34.979677] <172.16.103.57:58924>: Released [
[2016-05-07 20:54:34.980770] <172.16.103.57:58924>: Pressed ]
[2016-05-07 20:54:34.980816] <172.16.103.57:58924>: Released ]
[2016-05-07 20:54:37.245579] <172.16.103.57:58924>: Pressed ;
[2016-05-07 20:54:37.364463] <172.16.103.57:58924>: Released ;
[2016-05-07 20:54:37.905534] <172.16.103.57:58924>: Pressed '
[2016-05-07 20:54:39.014578] <172.16.103.57:58924>: Released '
[2016-05-07 20:54:40.887976] <172.16.103.57:58924>: Pressed \
[2016-05-07 20:54:41.026867] <172.16.103.57:58924>: Released \
[2016-05-07 20:54:42.887217] <172.16.103.57:58924>: Pressed `
[2016-05-07 20:54:43.016330] <172.16.103.57:58924>: Released `
[2016-05-07 20:54:43.406310] <172.16.103.57:58924>: Pressed 1
[2016-05-07 20:54:44.507974] <172.16.103.57:58924>: Released 1
[2016-05-07 20:54:46.479403] <172.16.103.57:58924>: Pressed 2
[2016-05-07 20:54:46.480339] <172.16.103.57:58924>: Released 2
[2016-05-07 20:54:51.220840] <172.16.103.57:58924>: Pressed 3
[2016-05-07 20:54:51.390750] <172.16.103.57:58924>: Released 3
[2016-05-07 20:54:52.230455] <172.16.103.57:58924>: Pressed 4
[2016-05-07 20:54:52.379997] <172.16.103.57:58924>: Released 4
[2016-05-07 20:54:53.110100] <172.16.103.57:58924>: Pressed 5
[2016-05-07 20:54:53.301377] <172.16.103.57:58924>: Released 5
[2016-05-07 20:54:55.976206] <172.16.103.57:58924>: Pressed 6
[2016-05-07 20:54:55.977472] <172.16.103.57:58924>: Released 6
[2016-05-07 20:54:55.998484] <172.16.103.57:58924>: Pressed 6
[2016-05-07 20:54:56.229945] <172.16.103.57:58924>: Released 6
[2016-05-07 20:54:57.461537] <172.16.103.57:58924>: Pressed 7
[2016-05-07 20:54:59.732643] <172.16.103.57:58924>: Released 7
[2016-05-07 20:55:00.993097] <172.16.103.57:58924>: Pressed 8
[2016-05-07 20:55:03.976764] <172.16.103.57:58924>: Released 8
[2016-05-07 20:55:08.485107] <172.16.103.57:58924>: Pressed 9
[2016-05-07 20:55:08.844976] <172.16.103.57:58924>: Released 9
[2016-05-07 20:55:09.705185] <172.16.103.57:58924>: Pressed 0
[2016-05-07 20:55:10.025978] <172.16.103.57:58924>: Released 0
[2016-05-07 20:55:11.877906] <172.16.103.57:58924>: Pressed `
[2016-05-07 20:55:12.975742] <172.16.103.57:58924>: Released `
[2016-05-07 20:55:15.827753] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:16.018583] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:16.288462] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:16.438618] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:16.651733] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:16.729388] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:16.817987] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:16.919328] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:16.997155] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:17.088969] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:21.900462] <172.16.103.57:58924>: Pressed j
[2016-05-07 20:55:22.069447] <172.16.103.57:58924>: Released j
[2016-05-07 20:55:22.490326] <172.16.103.57:58924>: Pressed j
[2016-05-07 20:55:23.101992] <172.16.103.57:58924>: Released j
[2016-05-07 20:55:24.781664] <172.16.103.57:58924>: Pressed j
[2016-05-07 20:55:26.210784] <172.16.103.57:58924>: Released j
[2016-05-07 20:55:27.161742] <172.16.103.57:58924>: Pressed j
[2016-05-07 20:55:28.092053] <172.16.103.57:58924>: Released j
[2016-05-07 20:55:28.503815] <172.16.103.57:58924>: Pressed j
[2016-05-07 20:55:29.202723] <172.16.103.57:58924>: Released j
[2016-05-07 20:55:30.873881] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:31.253379] <172.16.103.57:58924>: Pressed j
[2016-05-07 20:55:31.322805] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:31.804022] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:33.183709] <172.16.103.57:58924>: Released j
[2016-05-07 20:55:33.193601] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:35.476473] <172.16.103.57:58924>: Pressed d
[2016-05-07 20:55:35.478601] <172.16.103.57:58924>: Released d
[2016-05-07 20:55:35.478670] <172.16.103.57:58924>: Pressed s
[2016-05-07 20:55:35.941160] <172.16.103.57:58924>: Pressed w
[2016-05-07 20:55:36.651673] <172.16.103.57:58924>: Pressed 9
[2016-05-07 20:55:37.610589] <172.16.103.57:58924>: Released 9
[2016-05-07 20:55:38.477384] <172.16.103.57:58924>: Released s
[2016-05-07 20:55:38.477486] <172.16.103.57:58924>: Released w
[2016-05-07 20:55:40.477389] <172.16.103.57:58924>: Pressed s
[2016-05-07 20:55:40.477467] <172.16.103.57:58924>: Pressed w
[2016-05-07 20:55:40.477499] <172.16.103.57:58924>: Released s
[2016-05-07 20:55:40.477526] <172.16.103.57:58924>: Released w
[2016-05-07 21:03:18.739156] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:03:18.869937] <172.16.103.57:58924>: Released d
[2016-05-07 21:03:20.889763] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:03:21.059608] <172.16.103.57:58924>: Released d
[2016-05-07 21:03:21.577179] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:03:21.725735] <172.16.103.57:58924>: Released d
[2016-05-07 21:03:21.844878] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:03:21.974389] <172.16.103.57:58924>: Released d
[2016-05-07 21:03:22.373189] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:03:22.547218] <172.16.103.57:58924>: Released d
[2016-05-07 21:03:22.758137] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:03:22.917604] <172.16.103.57:58924>: Released d
[2016-05-07 21:03:23.250429] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:03:24.012560] <172.16.103.57:58924>: Released d
[2016-05-07 21:03:28.495512] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:03:28.638720] <172.16.103.57:58924>: Released ,
[2016-05-07 21:03:29.233978] <172.16.103.57:58924>: Pressed ,
[2016-05-07 21:03:29.343053] <172.16.103.57:58924>: Released ,
[2016-05-07 21:04:25.622146] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:04:25.755583] <172.16.103.57:58924>: Released e
[2016-05-07 21:04:28.384953] <172.16.103.57:58924>: Pressed 3
[2016-05-07 21:04:30.364912] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:04:30.801686] <172.16.103.57:58924>: Released e
[2016-05-07 21:04:31.063574] <172.16.103.57:58924>: Released 3
[2016-05-07 21:04:31.354112] <172.16.103.57:58924>: Pressed 3
[2016-05-07 21:04:31.404127] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:04:31.663439] <172.16.103.57:58924>: Released e
[2016-05-07 21:04:31.670554] <172.16.103.57:58924>: Released 3
[2016-05-07 21:04:37.955545] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:04:38.055901] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:15.241216] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:15.320097] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:16.400196] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:17.307433] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:25.263225] <172.16.103.57:58924>: Pressed u
[2016-05-07 21:17:25.268862] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:25.370330] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:25.501695] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:26.491925] <172.16.103.57:58924>: Released u
[2016-05-07 21:17:26.493344] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:26.493402] <172.16.103.57:58924>: Pressed u
[2016-05-07 21:17:26.493433] <172.16.103.57:58924>: Pressed r
[2016-05-07 21:17:26.493460] <172.16.103.57:58924>: Released u
[2016-05-07 21:17:26.493487] <172.16.103.57:58924>: Released r
[2016-05-07 21:17:26.605799] <172.16.103.57:58924>: Pressed 2
[2016-05-07 21:17:26.623218] <172.16.103.57:58924>: Released 2
[2016-05-07 21:17:26.640533] <172.16.103.57:58924>: Pressed s
[2016-05-07 21:17:26.840338] <172.16.103.57:58924>: Pressed i
[2016-05-07 21:17:26.845293] <172.16.103.57:58924>: Released s
[2016-05-07 21:17:26.875176] <172.16.103.57:58924>: Pressed v
[2016-05-07 21:17:26.897943] <172.16.103.57:58924>: Pressed j
[2016-05-07 21:17:26.986535] <172.16.103.57:58924>: Pressed w
[2016-05-07 21:17:26.998695] <172.16.103.57:58924>: Released v
[2016-05-07 21:17:27.056318] <172.16.103.57:58924>: Released j
[2016-05-07 21:17:27.993132] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:27.993200] <172.16.103.57:58924>: Released i
[2016-05-07 21:17:27.993231] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:27.993345] <172.16.103.57:58924>: Released w
[2016-05-07 21:17:28.016272] <172.16.103.57:58924>: Pressed i
[2016-05-07 21:17:28.020351] <172.16.103.57:58924>: Pressed e
[2016-05-07 21:17:28.039214] <172.16.103.57:58924>: Pressed 8
[2016-05-07 21:17:28.048934] <172.16.103.57:58924>: Released i
[2016-05-07 21:17:28.056554] <172.16.103.57:58924>: Pressed 1
[2016-05-07 21:17:28.062204] <172.16.103.57:58924>: Released e
[2016-05-07 21:17:28.085973] <172.16.103.57:58924>: Released 8
[2016-05-07 21:17:28.096805] <172.16.103.57:58924>: Released 1
[2016-05-07 21:17:31.887381] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:31.909639] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:31.927387] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:31.932887] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.015182] <172.16.103.57:58924>: Pressed h
[2016-05-07 21:17:32.023281] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.044108] <172.16.103.57:58924>: Released h
[2016-05-07 21:17:32.064116] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.114447] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:32.126346] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.145333] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:32.150530] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.182480] <172.16.103.57:58924>: Pressed m
[2016-05-07 21:17:32.190609] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:32.205000] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.225246] <172.16.103.57:58924>: Released m
[2016-05-07 21:17:32.230817] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:32.269843] <172.16.103.57:58924>: Pressed m
[2016-05-07 21:17:32.280797] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.300081] <172.16.103.57:58924>: Pressed f
[2016-05-07 21:17:32.319357] <172.16.103.57:58924>: Pressed d
[2016-05-07 21:17:32.337662] <172.16.103.57:58924>: Released m
[2016-05-07 21:17:32.347749] <172.16.103.57:58924>: Released f
[2016-05-07 21:17:32.356244] <172.16.103.57:58924>: Released d
[2016-05-07 21:17:32.396249] <172.16.103.57:58924>: Pressed c
